Summary,Issue key,Issue id,Issue Type,Created,Resolved,Status,Custom field (Committed),Assignee,Version / Delivery,Sprint,Priority,Custom field (Parent Link),planned_effort,time_spent,original_estimate,sprints,started,Parent,num_sprints,hours_spent,days_spent,planned_hours,Components,week_number,cycle_time,lead_time,inward_dep,outward_dep
"Joule is answering with ""Unexpected token c in JSON at position"" when I send a recap that contains a quote ("")",IDEGENAI-567,22045725,Bug,2024-10-14 00:00:00,,Ready for Dev.,,,,,Very High,,0.0,0.0,0.0,[''],,,1.0,0.0,0.0,0.0,,,,,,IDEGENAI-205
[CM] LLM not recognizing Material UoM when using the following recap,IDEGENAI-394,21988449,Bug,2024-10-09 00:00:00,2024-10-09 00:00:00,Completed,,I563481,,,High,,0.0,0.0,0.0,['IDE Sprint 3'],2024-10-09 00:00:00,,1.0,0.0,0.0,0.0,,41.0,1.0,1.0,IDEGENAI-327,
"Joule is writing ""300 million"" when creating a JSON",IDEGENAI-381,21975073,Bug,2024-10-08 00:00:00,2024-10-09 00:00:00,Completed,,I563481,,,Medium,,0.0,0.0,0.0,['IDE Sprint 3'],2024-10-08 00:00:00,,1.0,0.0,0.0,0.0,,41.0,2.0,2.0,"IDEGENAI-205, IDEGENAI-150, IDEGENAI-311",IDEGENAI-326
"When sending a recap with multiple items being purchased, joule is understanding it as Buy & Sell",IDEGENAI-533,22019969,Bug,2024-10-11 00:00:00,2024-10-15 00:00:00,Completed,,I563481,,,Medium,,0.0,0.0,0.0,['IDE Sprint 3'],2024-10-11 00:00:00,,1.0,0.0,0.0,0.0,,42.0,3.0,3.0,"IDEGENAI-205, IDEGENAI-150, IDEGENAI-298",
